*,AA,KK,QQ,JJ,TT,99,88,AKs,77,AQs,AJs,AKo,ATs,AQo,AJo,KQs,66,A9s,ATo,KJs,A8s,KTs,KQo,A7s,A9o,KJo,55,QJs,K9s,A5s,A6s,A8o,KTo,QTs,A4s,A7o,K8s,A3s,QJo,K9o,A5o,A6o,Q9s,K7s,JTs,A2s,QTo,44,A4o,K6s,K8o,Q8s,A3o,K5s,J9s,Q9o,JTo,K7o,A2o,K4s,Q7s,K6o,K3s,T9s,J8s,33,Q6s,Q8o,K5o,J9o,K2s,Q5s,T8s,K4o,J7s,Q4s,Q7o,T9o,J8o,K3o,Q6o,Q3s,98s,T7s,J6s,K2o,22,Q2s,Q5o,J5s,T8o,J7o,Q4o,97s,J4s,T6s,J3s,Q3o,98o,87s,T7o,J6o,96s,J2s,Q2o,T5s,J5o,T4s,97o,86s,J4o,T6o,95s,T3s,76s,J3o,87o,T2s,85s,96o,J2o,T5o,94s,75s,T4o,93s,86o,65s,84s,95o,T3o,92s,76o,74s,T2o,54s,85o,64s,83s,94o,75o,82s,73s,93o,65o,53s,63s,84o,92o,43s,74o,72s,54o,64o,52s,62s,83o,42s,82o,73o,53o,63o,32s,43o,72o,52o,62o,42o,32o
Q2s,-3.22516,-3.22448,-1.81834,-1.79983,-1.792,-1.72181,-1.65208,-1.05916,-1.61051,-1.48444,-0.879336,-2.73995,-0.884448,-4.28839,-2.16925,-1.44846,-1.56472,-0.797093,-2.18599,-0.927574,-0.799455,-0.932692,-4.17555,-0.801585,-1.90784,-2.32056,-1.53547,-0.981881,-0.845331,-0.856846,-0.786092,-1.91367,-2.33728,-0.930841,-0.851684,-1.91786,-0.777742,-0.846528,-2.77824,-2.05915,-2.0968,-1.87018,-0.828315,-0.79683,0.256933,-1.39623,-2.61612,-1.48208,-2.07943,-0.797062,-1.84435,-0.70068,-2.06171,-0.810412,0.343699,-2.28624,1.25873,-1.90271,-4.00428,-0.80525,-0.54764,-1.90577,-0.800094,0.272088,0.409359,-1.42256,-0.392561,-1.87531,-1.95016,1.5335,-1.36657,-0.249378,0.337754,-1.9328,0.470258,-0.135721,-1.38126,1.30698,1.7408,-1.91508,-0.882042,-0.121212,0.274124,0.398647,0.544727,-3.91339,-0.602814,0.0117463,-0.420371,0.545516,1.51426,1.93353,-0.0514205,0.335023,0.567261,0.473121,0.589375,-0.00429914,1.31549,0.288169,1.70701,2.16628,0.406434,1.36744,0.2598,0.54628,2.16628,0.548893,1.50824,0.343186,2.23602,1.93973,0.479593,0.571007,0.272702,2.30723,1.36259,1.3474,0.416345,1.73118,4.90555,2.16844,0.554581,0.348266,2.17691,0.557563,1.53318,0.306149,0.491333,1.95988,2.24813,1.32979,1.31498,0.423255,4.83943,0.328583,1.76189,0.38115,0.566691,2.19704,1.55107,1.31551,0.498612,2.20699,1.41352,0.403953,0.456507,1.99907,4.78363,0.426218,1.78825,1.3289,1.48112,1.65068,1.1725,1.24492,2.23769,1.19651,4.73843,2.02688,1.71975,1.88933,1.22096,1.79062,4.78387,4.27149,4.50881,4.34958,4.4291
Q5o,-3.53695,-3.53626,-2.02967,-2.05413,-2.08326,-1.99216,-1.93163,-1.19552,-1.87017,-1.68155,-1.00925,-3.3012,-1.03521,-4.8905,-2.6954,-1.64469,-1.85633,-0.939175,-2.77981,-1.05879,-0.95336,-1.08475,-4.77444,-0.950849,-2.47259,-2.85188,-0.857459,-1.12543,-0.988718,-1.65117,-0.955719,-2.51852,-2.93627,-1.08858,-0.809777,-2.51038,-0.930764,-0.787358,-3.2044,-2.62905,-4.75242,-2.52894,-0.976463,-0.945752,0.0906877,-0.764939,-3.0887,-0.446258,-2.04594,-0.96616,-2.44548,-0.852,-1.97009,-1.62028,0.20062,-2.73061,0.860775,-2.49393,-1.89391,-0.75004,-0.683986,-2.56293,-0.727621,0.0992443,0.286109,-0.349518,-0.526705,-2.33314,-4.65794,1.21125,-0.705208,-0.0710071,0.187371,-1.85658,0.371997,0.14779,-1.79388,0.884661,1.4828,-1.78071,-1.2893,0.159676,0.150647,0.273258,0.448778,-1.70455,-0.246877,0.165168,0.027668,1.28873,1.16433,1.75568,0.878343,0.236534,0.667504,0.35004,0.674447,0.91827,1.04564,0.203719,1.43721,2.00266,0.310014,0.68179,0.937523,1.27669,4.65429,0.642302,1.31852,0.259668,2.71657,1.68419,1.18531,0.649246,0.224658,2.74097,1.2141,0.656588,1.09773,1.55471,2.76689,4.61455,0.664202,1.03062,2.63457,0.652914,1.39312,0.939048,0.602492,4.32015,2.65897,0.660256,1.2819,0.556117,2.68489,0.741704,4.0376,0.485293,0.67859,2.70549,3.82158,0.665094,0.632221,2.67064,3.52366,0.817831,0.561398,2.50856,2.69656,0.689764,2.36202,0.708718,2.7926,2.1334,0.894247,0.637894,2.75345,0.777644,2.712,2.60691,3.03873,2.3783,0.787067,2.78214,2.85332,3.28596,2.62471,3.0639,3.09562
J5s,-3.09215,-3.09145,-3.11749,-1.75954,-1.74672,-1.66203,-1.60557,-0.980968,-1.54854,-0.998878,-1.39914,-2.48791,-0.839073,-2.54754,-4.00859,-1.0364,-1.48587,-0.746623,-2.04028,-1.36371,-0.760593,-0.887615,-2.66582,-0.760567,-1.74797,-3.8974,-0.656998,-1.35128,-0.795171,-1.35706,-0.742966,-1.79255,-2.19253,-0.953147,-0.606878,-1.79242,-0.738736,-0.58511,-3.86364,-1.90022,-3.87626,-1.73568,-0.860703,-0.755783,-0.899248,-0.563348,-2.40159,-0.172123,-1.32159,-0.753343,-1.7228,-0.804268,-1.2493,-1.3272,-0.797243,-2.10928,-2.51294,-1.77719,-1.17655,-0.54876,-0.750916,-1.76908,-0.526998,0.27553,-0.688478,-0.083773,-0.765541,-1.93184,-3.78479,-2.18597,-0.505229,-1.31709,0.36041,-1.13886,-0.543839,-0.560965,-1.76422,1.31796,-1.83777,-1.06657,-1.81063,-0.539196,0.322055,0.443429,-0.362922,-0.993816,0.0098818,-0.517434,-3.75943,0.0118203,1.58445,-1.3727,-1.18041,0.405075,0.257494,0.526821,0.268969,-1.10812,1.46141,0.356426,1.84526,-0.788369,0.488467,0.274591,-1.03539,1.31842,0.259631,0.809589,1.72221,0.439823,1.19967,2.10739,1.23627,0.816807,0.405636,1.2387,1.56757,0.824391,1.15307,1.98434,1.25887,4.7475,0.831483,1.07324,2.9823,0.820968,1.82969,1.01208,0.768738,4.48096,3.00766,0.828552,1.72146,0.707045,3.03463,0.777754,4.21074,0.662247,0.842629,3.05235,3.95151,0.830071,0.780936,3.02078,3.75346,0.847967,0.736139,2.85388,3.04775,0.834156,2.65899,0.855199,2.8704,2.51807,0.91844,0.810402,3.08972,0.919458,3.05229,2.89483,3.09945,2.75391,0.929179,3.04785,3.13224,3.32966,2.99134,3.31924,3.35162
T8o,-3.10556,-3.13653,-3.25216,-3.3918,-1.82379,-1.9222,-0.731301,-0.982446,-0.351892,-0.992546,-1.00466,-2.61571,-1.43505,-2.65936,-2.70926,-1.0577,-0.243588,-0.767867,-4.09785,-1.0678,-1.3892,-1.51419,-2.8689,-0.576247,-1.94617,-2.91266,-0.101805,-1.13217,-0.83063,-0.524701,-0.538798,-3.90739,-4.35789,-1.48083,-0.524638,-1.30841,-1.36269,-0.499654,-3.11973,-2.14837,-1.12659,-1.17969,-0.895588,-0.583835,-1.52095,-0.499629,-4.26414,-0.0654052,-1.12617,-0.551727,-3.82573,-1.42498,-1.04178,-0.504438,-0.956225,-2.35721,-4.40823,-1.33294,-1.04072,-0.504374,-0.56859,-1.22187,-0.479391,-0.978319,-1.47758,0.0302427,-0.551797,-4.04216,-1.06104,-2.55216,-0.479366,-0.504508,-0.0711245,-1.06062,-0.615848,-0.504444,-1.29798,-2.76224,-4.22788,-0.976254,-1.23369,-0.479461,1.14288,0.642652,-0.534243,-0.975169,0.0769389,-0.479435,-1.07286,-0.499781,0.0277557,-1.45132,-1.07244,0.639918,-0.499718,0.651231,-0.474734,-0.988073,4.1681,0.812146,2.46504,-1.19142,0.696996,-0.474709,-0.986988,0.65429,-1.06921,0.657987,2.61117,0.828476,-1.06879,2.49709,0.753332,0.680503,0.707159,-0.984419,3.01836,0.684462,0.89794,2.79218,-0.983334,2.51144,0.829006,0.764048,2.52267,0.839232,3.07587,0.677602,0.903069,2.97077,2.59722,0.842493,2.82186,0.837221,2.60984,0.64505,3.30541,0.735245,0.979033,3.21408,3.00223,0.984538,0.926934,3.25011,2.72924,0.734776,0.824958,3.32039,3.26078,0.737738,3.23737,1.00948,2.62883,2.91413,0.796466,0.904203,3.56623,0.79941,3.58346,3.52478,2.91622,3.20152,0.829761,2.92505,3.79257,3.11583,3.45847,3.12464,3.22477
J7o,-3.39771,-3.42464,-3.45695,-1.97566,-2.06255,-2.00752,-1.95342,-1.12375,-0.842831,-1.14373,-1.59557,-3.06838,-0.974826,-3.13315,-4.61217,-1.19522,-0.407705,-0.899883,-2.5924,-1.57924,-0.917418,-1.03771,-3.30016,-1.55572,-2.35369,-4.56518,-0.381288,-1.66254,-0.962766,-0.698779,-0.661964,-2.41062,-2.79487,-1.1052,-0.676289,-4.44263,-0.907927,-0.653799,-4.8386,-2.55616,-1.68805,-1.56813,-1.03026,-1.54219,-1.09222,-0.628815,-3.01285,-0.292473,-1.61219,-0.675375,-2.38285,-0.975416,-1.5361,-0.678991,-0.995634,-2.77416,-3.10962,-4.4058,-1.4514,-0.656508,-1.51922,-1.61478,-0.634017,0.222046,-0.873221,-0.198224,-0.687308,-2.60083,-1.62699,-2.8019,-0.609034,-0.690931,0.307616,-1.55113,-0.0711372,-0.668441,-4.33576,1.2747,-2.41102,-1.47502,-1.65387,-0.645951,0.251305,1.18446,0.499337,-1.39034,-0.0942585,-0.620967,-1.66609,0.484259,1.54649,0.0277557,-1.59022,1.09431,0.489864,0.653221,0.497129,-1.51411,1.36627,1.00605,4.31267,2.01519,0.585516,0.519602,-1.42944,0.706404,1.96487,0.692067,4.02201,0.519784,1.98411,2.66432,0.638699,0.702338,0.797919,2.00895,3.73736,0.730563,0.570468,2.44863,2.08356,2.83377,0.714639,0.784444,2.78921,0.704006,2.23904,0.598173,0.646408,2.61807,2.82454,0.732232,2.98138,0.860308,2.91883,0.586056,2.40032,0.685519,0.722753,2.86232,2.93554,0.73338,0.936466,2.83004,2.48667,0.673802,0.773259,2.64457,2.92435,0.686109,3.18079,1.01293,2.44347,2.76638,0.763921,0.863378,2.89026,0.776241,2.92779,3.42711,2.72462,3.04751,0.806592,2.76584,3.67464,3.01353,3.33642,3.05476,3.15477
Q4o,-3.56748,-3.56679,-2.04399,-2.08528,-2.07694,-2.03948,-1.9492,-1.21478,-1.88254,-1.7067,-1.02909,-3.36501,-1.03438,-4.97275,-2.76113,-1.66971,-1.86876,-0.965062,-2.77872,-1.07848,-0.961608,-1.08376,-4.85626,-0.95582,-2.55557,-2.91711,-1.84379,-1.14335,-1.01446,-1.03626,-0.960675,-2.54425,-2.93471,-1.08918,-1.65621,-2.52537,-0.939083,-0.808271,-3.26323,-2.71155,-2.78899,-2.54385,-0.996922,-0.950739,0.0902128,-0.785929,-3.09142,-0.836284,-4.76993,-0.971076,-2.47145,-0.857664,-2.03936,-0.988047,0.173377,-2.79607,0.857532,-2.50897,-1.96342,-1.62542,-0.688482,-2.57776,-0.748728,0.098736,0.261232,-0.382005,-0.536799,-2.35047,-2.63544,1.12382,-0.72638,-0.376288,0.186585,-4.67574,0.346843,-0.0708968,-1.80735,0.881343,1.40272,-1.85057,-1.32099,0.0278582,0.0931379,0.272202,0.423382,-1.77464,-0.279688,0.0408889,-0.804652,0.42499,1.16025,1.67476,0.0275808,0.181384,1.29441,0.348741,0.66649,0.490809,0.861863,0.162768,1.43228,1.92096,0.254638,0.673809,0.534709,0.425809,1.92329,1.27243,1.14201,0.218547,4.67211,1.67849,0.331701,0.647004,0.186238,2.7141,1.08187,0.654323,0.295609,1.37744,2.73991,1.92562,1.26224,0.263307,4.60015,0.6262,1.26033,0.204028,1.17493,1.62459,2.65,0.633519,1.15758,1.10803,2.67584,0.938061,1.50746,1.01676,0.651839,4.56881,1.40471,0.640983,0.608208,2.58466,1.21205,0.468344,0.537608,4.28732,2.6105,0.822662,4.07198,0.68447,3.51885,3.77498,0.544605,0.613869,2.66735,0.898851,2.6341,2.52936,2.07834,2.30147,0.778736,3.05346,2.775,2.32397,2.5471,3.29991,3.06757
97s,-2.73573,-2.72425,-2.75498,-2.85546,-2.98264,-1.57095,-1.56121,-0.778257,-0.544941,-0.797586,-0.788375,-1.84985,-0.79756,-1.9117,-1.88881,-0.830266,-0.0899953,-1.16518,-1.92416,-0.821056,-0.615395,-0.830241,-2.01869,-1.1401,-3.24923,-1.9958,0.0139669,-0.889122,-1.14822,-0.406689,-0.40759,-1.34801,-2.03113,-0.896403,-0.356779,-3.17154,-0.586068,-0.356753,-2.21263,-3.20061,-0.696019,-0.701466,-1.22234,-1.10536,-0.955858,-0.332571,-2.24208,0.153589,-0.532804,-0.401154,-1.25645,-0.651511,-0.531877,-0.368019,-1.18491,-3.44634,-2.43183,-3.06529,-0.451215,-0.318102,-1.08306,-0.683631,-0.318077,-1.20809,-0.708079,0.189986,-0.412873,-1.46512,-0.574922,-3.33988,-0.293894,-0.379732,-0.760624,-0.411707,-1.13057,-0.329822,-2.99792,-3.43062,-1.64565,-0.41078,-0.721513,-0.329797,-0.68105,-1.16507,-0.391792,-0.330118,0.281693,-0.305614,-0.612804,-0.373554,-1.81309,-3.16768,-0.449589,0.0118203,-0.323638,-0.431414,-0.323619,-0.448662,-1.83474,1.12226,-3.29647,-0.662941,0.570809,-0.299436,-0.368,-0.351023,-0.599905,-0.313589,0.259338,0.76307,-0.436709,-0.790525,0.583626,-0.31357,0.806757,-0.435764,4.10094,-0.289387,0.817519,2.20304,-0.355121,-0.536946,0.606444,0.822988,-0.411612,0.609863,2.81882,0.824246,0.893636,2.24939,-0.410686,0.63095,2.96441,0.905939,-0.330043,0.799647,2.99035,0.900942,0.967243,2.32916,3.02213,0.977343,0.910643,2.34021,3.00325,0.855792,0.972129,3.23151,2.41105,0.868766,3.29735,0.980738,2.93106,3.24615,0.942985,1.05932,3.46657,0.955978,3.50165,3.31235,3.11017,3.47342,0.959212,3.15735,3.54152,3.38757,3.75083,3.43476,3.44463
J4s,-3.12068,-3.11999,-3.14595,-1.77287,-1.7413,-1.70582,-1.62224,-0.999321,-1.56048,-1.01718,-1.42279,-2.54813,-0.838687,-2.60757,-4.08682,-1.05459,-1.49801,-0.770614,-2.04119,-1.38722,-0.768088,-0.887082,-2.72548,-0.764996,-1.82396,-3.9752,-1.48103,-1.37458,-0.819004,-0.826357,-0.74745,-1.81625,-2.19297,-0.952408,-1.36191,-1.8063,-0.746306,-0.605084,-3.94077,-1.97575,-2.00252,-1.74974,-0.88433,-0.760226,-0.900269,-0.58339,-2.40136,-0.638512,-3.89322,-0.757794,-1.74672,-0.811632,-1.31449,-0.779406,-0.815868,-2.18413,-2.51709,-1.79112,-1.24197,-1.33215,-0.755375,-1.78303,-0.547155,0.274639,-0.693573,-0.113854,-0.769954,-1.9551,-1.85424,-2.24617,-0.525455,-0.791573,0.359252,-3.80205,-0.547843,-1.32208,-1.77819,1.31363,-1.85373,-1.13234,-1.82445,-0.559315,0.268877,0.442011,-0.372156,-1.05981,-0.0204839,-0.537621,-1.89566,-0.233119,1.57929,-1.38504,-3.77677,0.354042,0.0117832,0.525147,0.147214,-1.17376,1.2979,0.318655,1.83927,-0.817791,0.437178,0.159714,-1.10125,0.59902,-0.369997,1.31427,1.56532,0.401791,0.259155,2.10058,0.511051,0.814215,0.370124,0.842677,1.45135,0.821775,0.472591,1.82662,0.885408,2.33141,1.30716,0.424484,4.73328,0.796179,1.71265,0.3908,1.22422,2.05746,2.99815,0.803739,1.61217,1.14463,3.02502,0.990134,1.93369,1.08368,0.817772,4.71179,1.78069,0.807667,0.758687,2.94291,1.6741,0.626834,0.71403,4.44239,2.96978,0.852292,4.18397,0.832716,3.67977,3.98656,0.700864,0.78806,3.01163,0.922562,2.98175,2.82476,2.40545,2.68429,0.921087,3.1127,3.06144,2.64211,2.92097,3.34219,3.32516
T6s,-2.95069,-2.97672,-3.00276,-3.03239,-1.70199,-1.65207,-1.60165,-0.905324,-1.54612,-0.923228,-0.942563,-2.24951,-1.31824,-2.30914,-2.37099,-0.978686,-0.623622,-0.689589,-3.74496,-0.998014,-0.706635,-1.30459,-2.48713,-0.70661,-1.57146,-2.54897,-0.100586,-1.05253,-0.755688,-0.478348,-1.26261,-1.62589,-3.70744,-1.29242,-0.478329,-1.62578,-0.702708,-0.456561,-2.72405,-1.78222,-0.916312,-3.56879,-0.82122,-0.719754,-1.36844,-0.432378,-3.67448,-0.0664019,-0.915726,-1.25181,-1.61585,-0.76824,-0.843442,-0.475928,-0.88249,-1.99128,-3.92611,-1.67024,-0.762913,-0.475909,-0.714887,-3.54131,-0.45414,-0.804567,-0.82951,0.0193286,-1.24171,-1.82491,-0.910695,-2.18674,-0.432378,-0.488132,-0.696374,-0.910109,-0.776158,-0.488107,-1.65729,-2.21691,-2.02035,-0.837825,-3.51595,-0.466345,0.380104,-0.552444,-1.21035,-0.765069,0.110014,-0.444583,-0.952246,-0.4953,-1.87045,-1.85275,-0.95166,0.462935,-0.495281,0.0118203,-0.473513,-0.879376,1.63769,0.409393,-1.40756,-3.41971,1.19422,-0.451751,-0.806619,0.422908,-0.975735,0.426,1.89791,1.11245,-0.975149,0.259442,0.796388,0.431678,1.03223,-0.902865,1.72789,0.438851,0.731827,4.34239,-0.830109,1.73566,0.869623,0.669094,1.74546,0.856687,4.07669,0.818047,0.805062,2.93394,1.76549,0.867354,3.81634,0.739909,1.79077,0.742563,2.72995,0.822681,0.878954,3.16755,2.53186,0.869472,0.813806,3.12853,3.00712,0.827486,0.892686,2.96354,3.16535,0.830266,2.75765,0.888069,2.75731,3.02162,0.912769,0.962969,3.19938,0.915574,3.17182,2.99349,3.02714,3.25009,0.928372,3.03556,3.23092,3.29855,3.47972,3.30695,3.34918
J3s,-3.14904,-3.14834,-3.17422,-1.78611,-1.77,-1.70054,-1.66601,-1.01794,-1.57724,-1.03573,-1.44666,-2.60916,-0.857804,-2.66844,-4.16576,-1.07303,-1.51007,-0.770819,-2.10369,-1.41094,-0.792307,-0.906042,-2.78595,-0.77283,-1.82674,-4.05369,-1.49315,-1.3981,-0.819057,-0.830941,-0.752276,-1.89299,-2.255,-0.971164,-0.825779,-1.83107,-0.770594,-1.36673,-4.0186,-1.97804,-2.01688,-1.76489,-0.884179,-0.768075,-0.917037,-0.603308,-2.46273,-1.44234,-1.9995,-0.762587,-1.82366,-0.835715,-3.90961,-0.784138,-0.817095,-2.18579,-2.57258,-1.81594,-1.30698,-0.778976,-0.763239,-1.79808,-1.33707,0.273754,-0.712412,-0.617135,-0.774716,-2.03141,-1.86907,-2.25099,-0.545923,-0.79626,0.334096,-1.85168,-0.553311,-0.791098,-1.80304,1.30944,-1.91462,-3.81873,-1.83937,-1.32703,0.268009,0.419001,-0.376633,-1.12657,-0.0506594,-0.558052,-1.91036,-0.243792,1.50033,-1.40222,-1.89297,0.352915,-0.123261,0.50187,0.0117463,-3.79352,1.29365,0.265654,1.76688,-0.831693,0.435784,0.144705,-1.16788,0.575511,-0.404161,0.57813,1.56023,0.350929,-0.012686,2.02737,0.509425,1.31925,0.332429,0.258916,1.28841,0.814045,0.421507,1.82071,0.83633,2.2575,0.584413,0.386619,2.26598,1.30307,1.55628,0.355446,0.496495,2.05084,4.74946,0.801203,1.49618,0.461601,2.99966,0.356341,1.77662,0.43044,1.29492,2.28801,1.66418,0.782998,1.21559,4.69817,1.5653,1.06159,1.15483,2.01378,2.96042,1.08556,1.90134,0.807969,1.56412,1.80248,0.678935,0.765857,4.67308,0.701218,2.90423,4.41547,3.91283,4.21866,0.92672,3.99092,2.98369,2.57307,2.85104,2.64393,3.35499
Q3o,-3.59794,-3.59724,-2.05827,-2.11635,-2.10802,-2.03342,-1.99662,-1.2344,-1.90033,-1.73218,-1.04929,-3.42985,-1.05456,-5.05589,-2.82787,-1.69504,-1.88121,-0.96494,-2.8454,-1.09853,-0.987833,-1.1038,-4.93899,-0.964518,-2.55661,-2.98335,-1.85632,-1.16138,-1.01418,-1.04144,-0.966083,-2.62816,-3.0009,-1.10719,-1.03613,-2.55243,-0.965379,-1.66139,-3.32231,-2.71211,-2.80447,-2.56012,-0.997848,-0.95946,0.0840031,-0.8069,-3.15044,-1.79966,-2.78628,-0.976459,-2.55559,-0.87846,-4.78733,-0.99337,0.172525,-2.79973,0.836474,-2.53606,-2.03284,-0.98806,-0.694666,-2.5939,-1.63069,0.0981178,0.233766,-0.812036,-0.541767,-2.41693,-2.65141,1.11953,-0.747909,-0.388072,0.159359,-2.63321,0.321734,-0.257364,-1.82627,0.877819,1.31474,-4.69344,-1.3359,-0.0708657,0.092531,0.247328,0.398033,-1.84583,-0.312518,0.0250039,-0.8418,0.399636,1.07302,1.59411,-0.418567,0.180506,0.422674,0.323626,1.2999,0.0274941,0.858401,0.105282,1.35239,1.83953,0.253524,0.665766,0.483144,0.400452,1.84187,0.403249,1.13777,0.163507,1.9171,1.59782,0.33035,1.278,0.145364,4.68982,0.898332,0.646341,0.240333,1.37247,2.71277,1.84419,0.408371,0.22219,1.85322,1.25789,1.08432,0.165681,0.318353,1.61884,4.61809,0.631221,1.02572,0.300211,2.6489,0.18789,1.33067,0.243708,1.2515,1.87191,1.27208,0.614278,1.18481,4.55461,1.08811,1.01539,1.09383,1.58374,2.60137,1.0415,1.52514,0.657665,1.15994,1.34117,0.52083,0.589876,4.5353,0.544434,2.54817,4.32079,3.76941,4.02474,0.903351,3.85389,2.68874,2.2472,2.46964,2.32363,3.31367
98o,-2.99108,-3.02184,-3.09772,-3.23151,-3.37239,-1.74411,-0.678123,-0.984164,-0.31588,-0.914751,-0.905916,-2.62055,-0.914694,-2.40776,-2.38955,-0.979573,-0.213173,-1.34006,-2.4285,-0.968734,-1.32081,-0.977511,-2.61613,-0.540914,-3.79287,-2.59179,-0.0996142,-1.01455,-1.41803,-0.505505,-0.506074,-3.68735,-2.63074,-1.02333,-0.452199,-1.20142,-1.29432,-0.452142,-2.7411,-4.04904,-1.07241,-1.08125,-1.38396,-0.54844,-1.09626,-0.452117,-2.78005,0.0553423,-0.891377,-0.518919,-3.60584,-1.33274,-0.890599,-0.485262,-1.41439,-3.95304,-3.01377,-1.22575,-0.889537,-0.431962,-0.51164,-1.12318,-0.431899,-1.45728,-1.3834,0.09397,-0.498081,-3.74442,-1.00696,-4.06638,-0.431874,-0.464424,-1.42055,-0.825923,-0.556787,-0.411124,-1.12028,-4.22081,-3.92357,-0.825164,-1.06698,-0.411061,-0.0708964,-0.59735,-0.47544,-0.824082,0.137331,-0.411036,-0.950779,-0.457056,-4.06006,-1.26709,-0.769726,0.637228,-0.40375,-0.516003,-0.403687,-0.768968,0.027668,0.824732,-1.39875,-1.008,0.645382,-0.403668,-0.767886,-0.433006,-0.938409,-0.392487,2.44056,0.828157,-0.757357,-1.13967,0.647891,-0.39243,0.753486,-0.756598,3.05573,-0.392405,0.843301,2.47132,-0.755516,-0.875099,0.681296,0.798324,-0.732541,0.685134,3.07104,0.698302,0.931053,2.48386,-0.731763,0.68908,2.96058,0.87945,-0.7307,0.689385,3.12469,0.77944,0.93627,2.59756,3.10334,0.941564,0.955282,2.60946,2.78641,0.747244,0.852781,3.41414,2.62204,0.817322,3.3629,1.03757,2.76106,3.04597,0.80874,0.931775,3.42965,0.82092,3.44624,3.60698,2.9469,3.28191,0.824323,3.18149,3.87392,3.14588,3.53806,3.19215,3.20249
87s,-2.57219,-2.60967,-2.64032,-2.7092,-2.83107,-2.95718,-1.49482,-0.700556,-0.495507,-0.719824,-0.710636,-1.60985,-0.719799,-1.6715,-1.64859,-0.818024,-0.0525342,-0.698866,-1.68381,-0.753376,-1.08675,-0.746086,-1.97826,-1.05149,-1.6221,-1.78281,0.0457376,-0.82109,-0.721848,-0.349279,-0.347764,-2.99708,-1.76586,-0.811903,-0.312628,-2.88615,-1.06262,-0.260462,-1.9985,-1.69359,-0.521816,-0.519478,-0.787324,-1.04016,-0.856509,-0.260437,-1.97569,0.158102,-0.401288,-0.365436,-2.92374,-1.13562,-0.230366,-0.334812,-0.828487,-1.90235,-2.11975,-2.85436,-0.228971,-0.298162,-1.01793,-0.575887,-0.245995,-0.892311,-1.09752,0.303111,-0.377119,-3.16593,-0.475287,-2.03546,-0.24597,-0.346495,-1.11307,-0.35474,-1.04668,-0.309844,-2.78719,-2.23801,-3.0572,-0.183818,-0.61365,-0.257672,-1.12644,-1.07953,-0.338998,-0.182423,0.340968,-0.257653,-0.513049,-0.323884,-3.1237,-2.89542,-0.392503,-1.08732,-0.287233,-0.376685,-0.235067,-0.221581,-3.18393,0.0117832,-3.01853,-0.500588,-0.397103,-0.235042,-0.220185,-0.296547,-0.447931,-0.274746,-3.06123,0.563953,-0.327384,-0.622247,-0.316965,-0.222573,0.794724,-0.156462,0.258523,-0.222555,0.576349,-0.688383,-0.155067,-0.369464,-0.233207,0.80031,-0.294467,-0.193477,2.17417,0.850225,0.598577,-0.435601,-0.123544,-0.193458,2.92399,0.833354,-0.122149,0.801351,2.21923,0.915199,0.631357,-0.170639,2.94658,0.634907,0.916124,-0.03748,3.07751,0.880088,0.993917,2.29718,-0.0360848,0.892883,3.05976,0.920899,2.9289,3.28421,0.951422,1.06766,2.40992,0.949235,2.42166,3.33474,3.17848,3.53379,1.01808,3.22514,3.35026,3.40662,3.7697,3.40527,3.62837
T7o,-3.22065,-3.24749,-3.2797,-3.39377,-1.88537,-1.95554,-1.9028,-1.03929,-0.769062,-1.05921,-1.06927,-2.80068,-1.5086,-2.86524,-2.90874,-1.11053,-0.364326,-0.821875,-4.33448,-1.1206,-0.839349,-1.49233,-3.03172,-1.4567,-2.11272,-3.07523,-0.223001,-1.18988,-0.88418,-0.597989,-0.612041,-2.16945,-4.28763,-1.57532,-0.597926,-4.1257,-0.829894,-0.575507,-3.29864,-2.31335,-1.36426,-1.4172,-0.951456,-1.4432,-1.54321,-0.550602,-4.56019,-0.186716,-1.36385,-0.62541,-2.14177,-0.89717,-1.28799,-0.578264,-1.01138,-2.53064,-4.47028,-4.08899,-1.20357,-0.578201,-1.42031,-1.46372,-0.555788,-0.984697,-0.957097,-0.0955542,-0.637306,-2.35908,-1.3034,-2.72327,-0.530884,-0.590166,-0.862866,-1.30298,-1.47273,-0.590103,-4.01919,-2.77517,-2.5517,-1.22711,-1.50267,-0.567684,0.293363,-0.0709123,-0.619763,-1.1427,0.00489486,-0.542779,-1.34235,-0.58541,-2.3861,-4.20417,-1.34195,1.13392,-0.585347,0.494386,-0.562928,-1.26608,1.49362,1.04416,0.027668,-1.46043,0.639146,-0.538024,-1.18165,0.506082,-1.33859,0.509573,4.14519,0.571769,-1.33818,1.99201,0.695304,0.516816,0.756242,-1.26232,3.85544,0.539213,0.627927,2.61175,-1.1779,2.03424,0.770732,0.825486,2.04486,0.760139,2.39676,0.655399,0.703361,2.78977,2.06962,0.788269,2.84235,0.830599,2.14399,0.605458,2.57477,0.71286,0.779459,3.03231,3.07117,0.790058,0.906323,3.00013,2.66034,0.692926,0.800323,2.81732,3.09412,0.695842,3.08611,0.982345,2.50308,2.84462,0.782754,0.89015,3.06221,0.785689,3.09964,3.33105,2.78332,3.12488,0.815943,2.7921,3.5772,3.07132,3.41288,3.0801,3.1798
